id,PA,PB
1,1,0
2,1,0
3,0.1,0.9
4,1,0
5,1,0
6,1,0
7,0.9,0.1
8,1,0
9,0.4,0.6
10,0.2,0.8
11,0.3,0.7
12,0.2,0.8
13,0,1
14,0.2,0.8
15,0,1
16,0.1,0.9
17,0.3,0.7
18,0,1
19,0.7,0.3
20,0.8,0.2
21,0.8,0.2
22,0.2,0.8
23,0.5,0.5
24,0.7,0.3
25,0.8,0.2
26,0.6,0.4
27,0.7,0.3
28,0.8,0.2
29,0,1
30,0,1
31,0.1,0.9
32,0,1
33,0.2,0.8
34,0.1,0.9
35,0.1,0.9
36,0.6,0.4
37,0.8,0.2
38,0.8,0.2
39,0.4,0.6
40,0.9,0.1
41,0.9,0.1
42,0.4,0.6
43,0.5,0.5
44,0.2,0.8
45,0.8,0.2
46,1,0
47,0.7,0.3
48,0.9,0.1
49,1,0
50,0.9,0.1
51,1,0
52,1,0
53,0.9,0.1
54,1,0
55,1,0
56,1,0
57,1,0
58,0.7,0.3
59,0.6,0.4
60,0.8,0.2
